filename;LoC;NoC;CLoC;DC;Number_of_Functions
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/accumulatepass.ts;334;26;85;0.20286396181384247;4
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/allocationregister.ts;225;20;102;0.3119266055045872;11
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/antialiasingkernel.ts;49;8;16;0.24615384615384617;1
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/auxiliaries.ts;360;36;160;0.3076923076923077;20
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/benchmark.ts;105;0;0;0;2
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/bindable.ts;19;3;9;0.32142857142857145;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/blitpass.ts;373;37;120;0.2434077079107505;6
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/buffer.ts;191;16;62;0.2450592885375494;8
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/camera.ts;426;52;147;0.25654450261780104;3
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/cameramodifier.ts;56;8;20;0.2631578947368421;1
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/canvas.ts;829;86;309;0.27152899824253074;23
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/canvasrecorder.ts;219;20;67;0.23426573426573427;11
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/changelookup.ts;105;10;43;0.2905405405405405;4
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/color.ts;756;67;242;0.24248496993987975;26
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/colorscale.ts;421;48;116;0.21601489757914338;9
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/context.ts;1145;97;276;0.19422941590429274;16
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/contextmasquerade.ts;181;17;59;0.24583333333333332;4
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/controller.ts;651;65;238;0.2677165354330709;17
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/core/cuboidgeometry.ts;178;22;51;0.22270742358078602;5
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/core/geospheregeometry.ts;200;22;54;0.2125984251968504;4
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/core/icosahedron.ts;218;33;63;0.22419928825622776;6
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/core/index.ts;8;0;0;0;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/core/planegeometry.ts;156;17;42;0.21212121212121213;4
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/core/resourcemanager.ts;180;10;42;0.1891891891891892;4
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/debug/index.ts;11;2;2;0.15384615384615385;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/debug/testnavigation.ts;48;4;4;0.07692307692307693;6
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/debug/testrenderer.ts;217;11;11;0.04824561403508772;8
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/debugpass.ts;173;15;48;0.2171945701357466;3
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/defaultframebuffer.ts;104;13;47;0.31125827814569534;6
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/environmentrenderingpass.ts;222;12;18;0.075;4
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/eventhandler.ts;739;52;227;0.2349896480331263;61
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/extensions.ts;93;4;11;0.10576923076923077;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/extensionshash.ts;184;11;36;0.16363636363636364;6
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/eyegazedatastream.ts;209;6;6;0.027906976744186046;16
